Street,City_State_ZipCode,Price,Bedrooms,Bathrooms,Size,Lot Size,TypePrice per Sqft,Year,Neighborhood,Time on Zillow,Views,Saves
"1688 Pine St #E413,","San Francisco, CA 94109","$1,148,000",1,1,831,$719/mo,Condo,"$1,381",2016,Neighborhood: Pacific Heights,115 days,165,6
"1250 Jones St UNIT 1801,","San Francisco, CA 94109","$2,650,000",2,2,"1,642","$1,400/mo",Condo,"$1,614",1929,Neighborhood: Nob Hill,62 days,320,11
"1001 Pine St UNIT 105,","San Francisco, CA 94109","$899,000",2,1,815,$741/mo,Condo,"$1,103",1963,Neighborhood: Lower Nob Hill,80 days,549,25
"1521 Sutter St APT 307,","San Francisco, CA 94109","$1,099,000",2,2,957,$515/mo,Condo,"$1,148",2008,Neighborhood: Cathedral Hill,112 days,523,7
"1688 Pine St #W407,","San Francisco, CA 94109","$1,575,000",2,2,"1,164",$832/mo,Condo,"$1,353",2016,Neighborhood: Pacific Heights,93 days,219,5
"1200 Gough St UNIT 19D,","San Francisco, CA 94109","$925,000",1,1,900,$926/mo,Condo,"$1,028",1966,Neighborhood: Cathedral Hill,85 days,347,6
"1172 Union St,","San Francisco, CA 94109","$1,300,000",2,1.5,--,0 spaces,Condo,$350/mo,1908,Neighborhood: Russian Hill,90 days,459,19
"1788 Clay St APT 805,","San Francisco, CA 94109","$999,000",1,1,671,$633/mo,Condo,"$1,489",2014,Neighborhood: Polk Gulch,92 days,176,4
"2134-2136 Franklin St,","San Francisco, CA 94109","$3,495,000",4,4,"3,206",0 spaces,Multiple Occupancy,"$1,090",1941,Neighborhood: Pacific Heights,100 days,620,13
"249 Mississippi St,","San Francisco, CA 94107","$2,499,383",3,3.5,"2,219",Covered,Single Family,"2,495 sqft",1907,Neighborhood: Potrero Hill,338 days,478,1
"712 Bryant St APT 6,","San Francisco, CA 94107","$1,734,350",2,2.5,"2,097",No Data,Condo,0 spaces,2001,Neighborhood: South of Market,186 days,255,2
"602-604 Mississippi St,","San Francisco, CA 94107","$3,890,000",--,--,--,No Data,Multiple Occupancy,0 spaces,1900,Neighborhood: Potrero Hill,41 days,442,15
"950 Tennessee St #106,","San Francisco, CA 94107","$1,159,000",2,2,908,$638/mo,Condo,"$1,276",2020,Neighborhood: Dogpatch,99 days,722,6
"991 Texas St,","San Francisco, CA 94107","$485,000","2,500 Square Feet",,"2,500 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Potrero Hill,99 days,609,10
"200 Brannan St APT 436,","San Francisco, CA 94107","$2,950,000",2,2,"1,820",$898/mo,Condo,"$1,621",2004,Neighborhood: South Beach,208 days,508,21
"555 4th St UNIT 426,","San Francisco, CA 94107","$1,195,000",2,2,"1,183",$752/mo,Condo,"$1,010",2006,Neighborhood: South of Market,163 days,188,6
"950 Tennessee St #123,","San Francisco, CA 94107","$940,000",1,1,798,$544/mo,Condo,"$1,178",2020,Neighborhood: Dogpatch,,,
"584-586 Mississippi St,","San Francisco, CA 94107","$1,815,000",4,1,"1,800",Garage - Attached,Multiple Occupancy,"$1,008",1927,Neighborhood: Potrero Hill,74 days,304,3
"2177 3rd St #423,","San Francisco, CA 94107","$1,175,000",1,1,654,$802/mo,Condo,"$1,797",2020,Neighborhood: Dogpatch,,,
"950 Tennessee St #115,","San Francisco, CA 94107","$669,000",--,1,472,$435/mo,Condo,"$1,417",2020,Neighborhood: Dogpatch,,,
"219 Brannan St UNIT 1E,","San Francisco, CA 94107","$899,999",1,1,524,"$1,092/mo",Condo,"$1,718",2000,Neighborhood: South Beach,108 days,190,4
"631 Folsom St APT 15B,","San Francisco, CA 94107","$1,298,000",2,2,"1,054",$995/mo,Condo,"$1,231",2009,Neighborhood: South of Market,39 days,387,12
"863 Carolina St,","San Francisco, CA 94107","$2,600,000","2,495 Square Feet",,"2,495 Square Feet",Covered,Vacant Land,$496,1907,Neighborhood: Potrero Hill,87 days,504,9
"1042 Mississippi St,","San Francisco, CA 94107","$485,000","2,500 Square Feet",,"2,500 Square Feet",No Data,Vacant Land,0 spaces,1996,Neighborhood: Potrero Hill,99 days,755,16
"72 Townsend St UNIT 408,","San Francisco, CA 94107","$1,200,000",1,2,"1,005",$70/mo,Condo,"$1,194",2015,Neighborhood: South Beach,120 days,430,12
"950 Tennessee St #209,","San Francisco, CA 94107","$989,000",1,1,788,$544/mo,Condo,"$1,255",2020,Neighborhood: Dogpatch,,,
"250 King St UNIT 700,","San Francisco, CA 94107","$1,299,500",2,2,"1,219",$960/mo,Condo,"$1,066",2004,Neighborhood: Mission Bay,94 days,475,6
"75 Howard St #1103,","San Francisco, CA 94105","$3,395,000",2,2,"1,370","$2,695/mo",Condo,"$2,478",No Data,Neighborhood: Financial District,,,
"338 Main St #30E,","San Francisco, CA 94105","$3,449,000",3,3,"1,791","$1,281/mo",Condo,"$1,926",2016,Neighborhood: Rincon Hill,219 days,274,4
"401 Harrison St APT 46A,","San Francisco, CA 94105","$3,150,000",2,2,"1,648","$1,449/mo",Condo,"$1,911",2014,Neighborhood: Rincon Hill,115 days,105,3
"401 Harrison St APT 44C,","San Francisco, CA 94105","$2,990,000",2,2,"1,589","$1,435/mo",Condo,"$1,882",2014,Neighborhood: Rincon Hill,158 days,260,4
"401 Harrison St APT 43B,","San Francisco, CA 94105","$2,495,000",2,2,"1,419","$1,391/mo",Condo,"$1,758",2014,Neighborhood: Rincon Hill,219 days,96,3
"301 Mission St APT 14H,","San Francisco, CA 94105","$899,000",1,1,773,"$1,531/mo",Condo,"$1,163",2009,Neighborhood: South of Market,52 days,215,1
"338 Main St UNIT 35A,","San Francisco, CA 94105","$2,875,000",2,2,"1,572","$1,243/mo",Condo,"$1,829",2016,Neighborhood: Rincon Hill,232 days,229,12
"338 Main St UNIT 35D,","San Francisco, CA 94105","$1,398,000",1,1,963,"$1,143/mo",Condo,"$1,452",2016,Neighborhood: Rincon Hill,179 days,71,2
"75 Howard St #1205,","San Francisco, CA 94105","$3,995,000",2,3,"1,603","$2,899/mo",Condo,"$2,492",No Data,Neighborhood: Financial District,,,
"401 Harrison St APT 39D,","San Francisco, CA 94105","$2,825,000",2,2,"1,297","$1,355/mo",Condo,"$2,178",2014,Neighborhood: Rincon Hill,289 days,214,13
"181 Fremont St UNIT 56B,","San Francisco, CA 94105","$5,900,000",2,2.5,"2,226","$3,027/mo",Condo,"$2,650",2018,Neighborhood: South of Market,325 days,457,7
"201 Folsom St APT 40E,","San Francisco, CA 94105","$3,750,000",3,3,"1,784","$1,281/mo",Condo,"$2,102",2016,Neighborhood: Rincon Hill,114 days,181,8
"181 Fremont St UNIT 61B,","San Francisco, CA 94105","$6,855,000",3,3.5,"2,314","$3,062/mo",Condo,"$2,962",2018,Neighborhood: South of Market,92 days,581,19
"488 Folsom St #3704,","San Francisco, CA 94105","$2,650,000",2,2.5,"1,544","$1,741/mo",Condo,"$1,716",2019,Neighborhood: Rincon Hill,52 days,207,5
"181 Fremont St UNIT 63C,","San Francisco, CA 94105","$2,970,000",2,2.5,"1,262","$2,706/mo",Condo,"$2,353",2018,Neighborhood: South of Market,65 days,288,4
"301 Mission St APT 31B,","San Francisco, CA 94105","$1,995,000",2,2.5,"1,652","$2,736/mo",Condo,"$1,208",2009,Neighborhood: South of Market,143 days,283,4
"301 Mission St APT 45E,","San Francisco, CA 94105","$2,795,000",2,2,"1,680","$2,661/mo",Condo,"$1,664",2009,Neighborhood: South of Market,70 days,226,10
"199 New Montgomery St UNIT 709,","San Francisco, CA 94105","$799,000",1,1,800,$578/mo,Condo,$999,2004,Neighborhood: South of Market,250 days,430,11
"425 1st St UNIT 2001,","San Francisco, CA 94105","$1,095,000",1,1,837,"$1,089/mo",Condo,"$1,308",2008,Neighborhood: Rincon Hill,163 days,129,5
"1 Hawthorne St UNIT 19E,","San Francisco, CA 94105","$1,599,000",2,2,"1,243","$1,268/mo",Condo,"$1,286",2010,Neighborhood: South of Market,157 days,197,4
"355 1st St UNIT 1602,","San Francisco, CA 94105","$1,450,000",2,2,"1,166",$935/mo,Condo,"$1,244",2004,Neighborhood: Rincon Hill,166 days,268,12
"333 Main St UNIT 6E,","San Francisco, CA 94105","$1,698,888",2,2,"1,366",$936/mo,Condo,"$1,244",2008,Neighborhood: Rincon Hill,243 days,192,3
"301 Mission St APT 42D,","San Francisco, CA 94105","$3,100,000",3,3,"1,952","$2,730/mo",Condo,"$1,588",2009,Neighborhood: South of Market,114 days,305,11
"338 Main St UNIT 3H,","San Francisco, CA 94105","$1,100,000",1,1,854,"$1,125/mo",Condo,"$1,288",2016,Neighborhood: Rincon Hill,150 days,164,0
"333 Beale St #C6D,","San Francisco, CA 94105","$1,295,000",1,2,"1,033","$1,155/mo",Condo,"$1,254",2015,Neighborhood: Rincon Hill,128 days,73,2
"338 Main St UNIT 4A,","San Francisco, CA 94105","$1,649,000",2,2,"1,379","$1,217/mo",Condo,"$1,196",2016,Neighborhood: Rincon Hill,91 days,175,3
"1111 York St #A,","San Francisco, CA 94110","$949,000",2,1,"1,163",Garage - Attached,Condo,$816,1910,Neighborhood: Mission,53 days,"1,219",45
"989 Dolores St,","San Francisco, CA 94110","$799,000",1,1,686,$240/mo,Condo,"$1,165",1908,Neighborhood: Dolores Heights,51 days,"2,211",86
"792 Capp St #1,","San Francisco, CA 94110","$849,000",1,1,666,$173/mo,Condo,"$1,275",2020,Neighborhood: Mission,54 days,540,13
"1429 Dolores St,","San Francisco, CA 94110","$1,245,000",2,1,"1,250",0 spaces,Condo,$996,1907,Neighborhood: Noe Valley,82 days,452,18
"588 S Van Ness Ave APT 9,","San Francisco, CA 94110","$1,095,000",2,2.5,"1,450",$528/mo,Condo,$755,2001,Neighborhood: Mission,45 days,"1,227",55
"1388 Gough St APT 1101,","San Francisco, CA 94109","$1,198,000",2,2,"1,382","$1,426/mo",Condo,$867,1993,Neighborhood: Cathedral Hill,195 days,259,9
"2040 Franklin St APT 708,","San Francisco, CA 94109","$879,945",1,2,"1,040",$854/mo,Condo,$846,1966,Neighborhood: Pacific Heights,51 days,641,8
"1176 Union St,","San Francisco, CA 94109","$1,550,000",2,1.5,--,0 spaces,Condo,$350/mo,1908,Neighborhood: Russian Hill,89 days,265,10
"1896 Pacific Ave APT 304,","San Francisco, CA 94109","$3,495,000",3,3.5,"2,631","$1,520/mo",Condo,"$1,328",1924,Neighborhood: Pacific Heights,102 days,502,3
"1220 Jones St #301,","San Francisco, CA 94109","$1,849,000",2,2,"1,175",$695/mo,Condo,"$1,574",1989,Neighborhood: Nob Hill,130 days,508,11
"1830 Jackson St APT G,","San Francisco, CA 94109","$3,400,000",3,3,"2,436",$880/mo,Condo,"$1,396",1917,Neighborhood: Pacific Heights,79 days,398,16
"1800 Washington St APT 812,","San Francisco, CA 94109","$825,000",1,1,745,$714/mo,Condo,"$1,107",2001,Neighborhood: Pacific Heights,102 days,383,13
"1688 Pine St #E402,","San Francisco, CA 94109","$1,275,000",2,2,989,$755/mo,Condo,"$1,289",2016,Neighborhood: Pacific Heights,79 days,302,13
"1080 Chestnut St APT 3C,","San Francisco, CA 94109","$3,495,000",2,2,"1,622","$1,812/mo",Condo,"$2,155",1962,Neighborhood: Russian Hill,65 days,598,16
"1200 California St UNIT 27C,","San Francisco, CA 94109","$4,500,000",2,3,"2,300","$3,639/mo",Condo,"$1,957",1962,Neighborhood: Nob Hill,87 days,409,15
"631 Ofarrell St APT 503,","San Francisco, CA 94109","$529,000",--,1,520,$605/mo,Condo,"$1,017",1929,Neighborhood: Tenderloin,133 days,223,7
"900 Bush St APT 206,","San Francisco, CA 94109","$699,000",1,1,680,$994/mo,Condo,"$1,028",1982,Neighborhood: Lower Nob Hill,104 days,374,14
"1090 Chestnut St #6,","San Francisco, CA 94109","$10,000,000",4,3.5,"3,436","$4,426/mo",Condo,"$2,910",1927,Neighborhood: Russian Hill,79 days,"1,288",20
"1333 Jones St UNIT 806,","San Francisco, CA 94109","$2,900,000",2,2,"1,585","$1,868/mo",Condo,"$1,830",1961,Neighborhood: Nob Hill,162 days,393,11
"1545 Pine St UNIT 512,","San Francisco, CA 94109","$945,000",1,1,857,$951/mo,Condo,"$1,103",2017,Neighborhood: Lower Nob Hill,59 days,486,19
"1940 Broadway #1W,","San Francisco, CA 94109","$2,895,000",2,2,"2,000","$1,732/mo",Condo,"$1,448",1925,Neighborhood: Pacific Heights,133 days,624,14
"631 Ofarrell St APT 404,","San Francisco, CA 94109","$529,000",--,1,520,$539/mo,Condo,"$1,017",1930,Neighborhood: Tenderloin,57 days,286,11
"126-128 Bernard St,","San Francisco, CA 94109","$2,240,000",4,2,"2,340",Garage - Attached,Multiple Occupancy,$957,1932,Neighborhood: Russian Hill,122 days,779,21
"900 Bush St APT 401,","San Francisco, CA 94109","$675,000",1,1,588,$963/mo,Condo,"$1,148",1982,Neighborhood: Lower Nob Hill,79 days,324,13
"1299 Bush St APT 204,","San Francisco, CA 94109","$625,000",1,1,554,$750/mo,Condo,"$1,128",2009,Neighborhood: Lower Nob Hill,100 days,528,12
"900 Bush St APT 1102,","San Francisco, CA 94109","$715,000",1,1,657,$985/mo,Condo,"$1,088",1982,Neighborhood: Lower Nob Hill,131 days,166,9
"1450 Franklin St APT 802,","San Francisco, CA 94109","$1,875,000",2,2,"1,325",$986/mo,Condo,"$1,415",2017,Neighborhood: Cathedral Hill,51 days,338,12
"1 Daniel Burnham Ct APT 109,","San Francisco, CA 94109","$1,150,000",2,2,999,"$1,112/mo",Condo,"$1,151",1988,Neighborhood: Cathedral Hill,88 days,336,15
"1100 Union St #700,","San Francisco, CA 94109","$5,500,000",3,3.5,"2,471","$2,365/mo",Condo,"$2,226",1929,Neighborhood: Russian Hill,164 days,687,7
"1830 Jackson St #C,","San Francisco, CA 94109","$2,600,000",3,2.5,"1,865",$810/mo,Condo,"$1,394",1917,Neighborhood: Pacific Heights,79 days,394,16
"1001 Pine St UNIT 404,","San Francisco, CA 94109","$769,000",1,1,616,$560/mo,Condo,"$1,248",1963,Neighborhood: Lower Nob Hill,74 days,331,8
"1701 Jackson St APT 506,","San Francisco, CA 94109","$1,259,000",2,2,"1,108",$815/mo,Condo,"$1,136",2001,Neighborhood: Pacific Heights,64 days,385,6
"1520 Larkin St,","San Francisco, CA 94109","$1,299,000",3,2,"1,470",$606/mo,Condo,$884,1909,Neighborhood: Nob Hill,155 days,"2,213",77
"669 Ellis St,","San Francisco, CA 94109","$3,200,000",12,12,"7,654",0 spaces,Multiple Occupancy,$418,1909,Neighborhood: Tenderloin,165 days,"1,006",22
"1645 Pacific Ave APT 6B,","San Francisco, CA 94109","$2,050,000",2,2,"1,335",$824/mo,Condo,"$1,536",2014,Neighborhood: Polk Gulch,51 days,357,13
"250 King St UNIT 912,","San Francisco, CA 94107","$825,000",1,1,888,$850/mo,Condo,$929,2004,Neighborhood: Mission Bay,135 days,303,13
"584 Mississippi St #2,","San Francisco, CA 94107","$1,815,000",3,2,"1,800",Covered,Multiple Occupancy,"$1,008",1927,Neighborhood: Potrero Hill,77 days,443,7
"855 Folsom St APT 330,","San Francisco, CA 94107","$490,671",1,1,658,$504/mo,Condo,$746,2001,Neighborhood: South of Market,106 days,769,31
"451 Kansas St UNIT 350,","San Francisco, CA 94107","$1,249,000",2,2,930,$585/mo,Condo,"$1,343",2007,Neighborhood: Potrero Hill,119 days,370,14
"555 4th St UNIT 429,","San Francisco, CA 94107","$1,100,000",2,2,"1,022",$681/mo,Condo,"$1,076",2006,Neighborhood: South of Market,129 days,471,12
"877 Indiana St #106,","San Francisco, CA 94107","$1,325,000",1,2,"1,076",$553/mo,Condo,"$1,231",2009,Neighborhood: Dogpatch,79 days,190,4
"875 Indiana St UNIT 324,","San Francisco, CA 94107","$899,000",1,1.5,852,$523/mo,Condo,"$1,055",2009,Neighborhood: Dogpatch,177 days,420,13
"2177 3rd St #513,","San Francisco, CA 94107","$740,000",--,1,502,$742/mo,Condo,"$1,474",2020,Neighborhood: Dogpatch,,,
"260 King St UNIT 553,","San Francisco, CA 94107","$645,000",1,1,556,$799/mo,Condo,"$1,160",2004,Neighborhood: Mission Bay,132 days,186,5
"957 De Haro St,","San Francisco, CA 94107","$3,998,000",4,3,"3,030","Garage - Attached, Garage - Detached",Multiple Occupancy,"$1,319",1926,Neighborhood: Potrero Hill,47 days,571,5
"177 Townsend St UNIT 535,","San Francisco, CA 94107","$1,049,000",2,2,927,$759/mo,Condo,"$1,132",2007,Neighborhood: South Beach,63 days,783,21
"260 King St UNIT 545,","San Francisco, CA 94107","$789,000",1,1,740,$799/mo,Condo,"$1,066",2004,Neighborhood: Mission Bay,154 days,266,8
"602 Mississippi St,","San Francisco, CA 94107","$1,895,000",2,2.5,--,No Data,Condo,Carport,No Data,Neighborhood: Potrero Hill,40 days,414,18
"604 Mississippi St,","San Francisco, CA 94107","$1,995,000",3,2.5,--,No Data,Condo,Garage - Attached,1900,Neighborhood: Potrero Hill,40 days,629,28
"77 Dow Pl APT 310,","San Francisco, CA 94107","$899,000",1,1.5,"1,164",$868/mo,Condo,$772,2002,Neighborhood: South of Market,104 days,564,16
"1 S Park St APT 204,","San Francisco, CA 94107","$1,298,000",3,2,"1,100",$673/mo,Condo,"$1,180",2007,Neighborhood: South Beach,96 days,"1,816",62
"801 Indiana St UNIT 362,","San Francisco, CA 94107","$1,399,000",2,2.5,"1,230",$579/mo,Condo,"$1,137",2009,Neighborhood: Dogpatch,39 days,394,9
"555 4th St UNIT 903,","San Francisco, CA 94107","$1,150,000",2,2,"1,165",$681/mo,Condo,$987,2006,Neighborhood: South of Market,112 days,350,8
"631 Folsom St APT 2E,","San Francisco, CA 94107","$1,100,000",2,2,906,$960/mo,Condo,"$1,214",2009,Neighborhood: South of Market,81 days,273,10
"555 4th St UNIT 514,","San Francisco, CA 94107","$850,000",1,1,721,$638/mo,Condo,"$1,179",2006,Neighborhood: South of Market,107 days,89,3
"631 Folsom St APT 19E,","San Francisco, CA 94107","$1,200,000",2,2,906,$890/mo,Condo,"$1,325",2009,Neighborhood: South of Market,101 days,368,11
"170 King St UNIT 602,","San Francisco, CA 94107","$1,185,000",2,2,"1,006",$781/mo,Condo,"$1,178",2007,Neighborhood: South Beach,113 days,666,21
"451 Kansas St UNIT 492,","San Francisco, CA 94107","$1,150,000",2,2,964,$617/mo,Condo,"$1,193",2007,Neighborhood: Potrero Hill,99 days,489,26
"555 4th St UNIT 917,","San Francisco, CA 94107","$699,000",1,1,563,$610/mo,Condo,"$1,242",2006,Neighborhood: South of Market,77 days,696,29
"1 Federal St APT 18,","San Francisco, CA 94107","$387,026",--,1,"1,018",$754/mo,Condo,$380,2003,Neighborhood: South Beach,126 days,"1,787",45
"950 Tennessee St #214,","San Francisco, CA 94107","$1,388,000",2,2,"1,083",$638/mo,Condo,"$1,282",2020,Neighborhood: Dogpatch,,,
"310 Townsend St APT 105,","San Francisco, CA 94107","$1,129,000",2,2,"1,244",$630/mo,Condo,$908,2006,Neighborhood: South of Market,93 days,945,29
"555 4th St UNIT 509,","San Francisco, CA 94107","$775,000",1,1,705,$634/mo,Condo,"$1,099",2006,Neighborhood: South of Market,116 days,229,15
"451 Kansas St UNIT 447,","San Francisco, CA 94107","$799,000",1,1,663,$535/mo,Condo,"$1,205",2007,Neighborhood: Potrero Hill,94 days,448,19
"555 4th St UNIT 701,","San Francisco, CA 94107","$1,069,000",2,2,"1,011",$689/mo,Condo,"$1,057",2006,Neighborhood: South of Market,81 days,503,16
"631 Folsom St APT 16A,","San Francisco, CA 94107","$1,395,000",2,2,"1,136","$1,009/mo",Condo,"$1,228",2009,Neighborhood: South of Market,60 days,273,4
"821 Folsom St APT 416,","San Francisco, CA 94107","$789,000",1,1,662,$533/mo,Condo,"$1,192",2004,Neighborhood: South of Market,254 days,284,5
"584-586 Vermont St,","San Francisco, CA 94107","$2,374,000",5,6,"2,690",0 spaces,Multiple Occupancy,$883,1906,Neighborhood: Potrero Hill,119 days,617,28
"401 Harrison St APT 22E,","San Francisco, CA 94105","$2,150,000",2,2,"1,241","$1,355/mo",Condo,"$1,732",2014,Neighborhood: Rincon Hill,73 days,182,6
"501 Beale St UNIT 8D,","San Francisco, CA 94105","$1,899,000",2,2,"1,259","$1,156/mo",Condo,"$1,508",2006,Neighborhood: South Beach,83 days,239,2
"401 Harrison St #34F,","San Francisco, CA 94105","$1,448,000",1,1,830,"$1,274/mo",Condo,"$1,745",2014,Neighborhood: Rincon Hill,87 days,244,5
"301 Mission St APT 24D,","San Francisco, CA 94105","$924,900",1,1,789,"$1,535/mo",Condo,"$1,172",2009,Neighborhood: South of Market,127 days,141,2
"403 Main St APT 720N,","San Francisco, CA 94105","$1,438,888",2,2,"1,083",$739/mo,Condo,"$1,329",1997,Neighborhood: Rincon Hill,188 days,348,9
"301 Mission St APT 43D,","San Francisco, CA 94105","$3,495,000",2,3,"1,952","$2,730/mo",Condo,"$1,790",2009,Neighborhood: South of Market,50 days,224,10
"355 1st St PENTHOUSE S2802,","San Francisco, CA 94105","$2,198,000",2,2,"1,480","$1,009/mo",Condo,"$1,485",2004,Neighborhood: Rincon Hill,84 days,432,5
"181 Fremont St UNIT 57A,","San Francisco, CA 94105","$5,175,000",2,2.5,"1,958","$2,927/mo",Condo,"$2,643",2018,Neighborhood: South of Market,53 days,415,7
"201 Harrison St APT 425,","San Francisco, CA 94105","$699,000",1,1,572,$626/mo,Condo,"$1,222",1991,Neighborhood: Rincon Hill,135 days,158,2
"425 1st St UNIT 1805,","San Francisco, CA 94105","$859,000",1,1,710,"$1,013/mo",Condo,"$1,210",2008,Neighborhood: Rincon Hill,70 days,248,8
"74 New Montgomery St UNIT 307,","San Francisco, CA 94105","$845,000",1,1,694,$896/mo,Condo,"$1,218",1914,Neighborhood: South of Market,135 days,247,5
"333 Beale St #C8H,","San Francisco, CA 94105","$1,399,000",1,2,985,"$1,177/mo",Condo,"$1,420",2015,Neighborhood: Rincon Hill,213 days,114,1
"188 Minna St APT 32A,","San Francisco, CA 94105","$3,495,000",3,3,"2,027","$2,850/mo",Condo,"$1,724",2005,Neighborhood: South of Market,95 days,367,9
"201 Folsom St APT 20A,","San Francisco, CA 94105","$1,838,000",2,2,"1,368","$1,215/mo",Condo,"$1,344",2016,Neighborhood: Rincon Hill,71 days,419,24
"301 Main St UNIT 7C,","San Francisco, CA 94105","$1,899,000",3,2.5,"1,752","$1,059/mo",Condo,"$1,084",2008,Neighborhood: Rincon Hill,143 days,433,13
